Player,Pos,Team,G,MP,PTS,TRB,AST,WS,BPM,Salary,Value_per_Million
D'Angelo Russell,PG,LAL,76.0,2484.0,19.8,3.4,7.0,1.0,-1.7,18692307.0,0.05349794436823663
D'Angelo Russell,PG,LAL,76.0,2484.0,19.8,3.4,7.0,0.9,1.0,18692307.0,0.04814814993141296
James Harden,PG,LAC,72.0,2470.0,17.4,5.4,8.9,8.3,4.3,33653846.0,0.24662857255601633
Devin Booker,PG,PHO,68.0,2447.0,27.1,4.5,6.9,6.4,0.4,49205800.0,0.13006596783306032
Jarrett Allen,C,CLE,77.0,2442.0,18.7,12.0,3.1,11.6,4.2,20000000.0,0.58
Jabari Smith Jr.,PF,HOU,76.0,2424.0,15.5,9.1,1.8,4.2,-0.7,9770880.0,0.4298486932599725
Bam Adebayo,C,MIA,71.0,2416.0,20.4,11.0,4.1,7.5,2.0,34848340.0,0.21521828586383168
Chet Holmgren,C,OKC,82.0,2413.0,20.2,9.7,3.0,3.2,2.4,10880640.0,0.29410034703840954
Brook Lopez,C,MIL,79.0,2411.0,14.8,6.1,1.9,6.6,0.8,23000000.0,0.28695652173913044
Kentavious Caldwell-Pope,SG,DEN,76.0,2402.0,11.5,2.7,2.7,4.6,-1.4,22757000.0,0.20213560662653246
Bogdan Bogdanović,SG,ATL,79.0,2401.0,20.0,4.1,3.7,1.9,-2.0,17260000.0,0.11008111239860949
Bogdan Bogdanović,SG,ATL,79.0,2401.0,20.0,4.1,3.7,-0.1,-4.7,17260000.0,-0.005793742757821552
Bogdan Bogdanović,SG,ATL,79.0,2401.0,20.0,4.1,3.7,2.0,0.2,17260000.0,0.11587485515643105
Brandon Miller,SF,CHO,74.0,2383.0,19.3,4.8,2.6,0.4,0.0,11424600.0,0.035012166727937964
Harrison Barnes,PF,SAC,82.0,2381.0,15.1,3.8,1.5,5.6,0.0,18000000.0,0.3111111111111111
Derrick White,SG,BOS,73.0,2381.0,16.7,4.7,5.7,8.5,3.5,20071429.0,0.4234875354415473
Tobias Harris,PF,PHI,70.0,2368.0,18.3,6.9,3.3,5.2,0.1,25365854.0,0.20499999724038467
Donte DiVincenzo,SG,NYK,81.0,2360.0,19.2,4.5,3.3,3.9,1.9,11445000.0,0.34076015727391873
Jordan Poole,SG,WAS,78.0,2346.0,20.8,3.3,5.3,2.0,0.4,29651786.0,0.06744956273460222
Jaylen Brown,SF,BOS,70.0,2343.0,24.7,5.9,3.8,5.2,0.0,49205800.0,0.10567859886436151
Malik Beasley,SG,MIL,79.0,2337.0,13.7,4.5,1.7,4.7,0.8,6000000.0,0.7833333333333333
Franz Wagner,SF,ORL,72.0,2337.0,21.9,5.9,4.1,5.6,3.1,7007092.0,0.7991903060499277
Kawhi Leonard,SF,LAC,68.0,2330.0,24.9,6.4,3.8,3.5,3.1,49205800.0,0.07112982615870486
Herbert Jones,SF,NOP,76.0,2321.0,13.0,4.2,3.1,0.4,-3.6,12976362.0,0.03082528061408891
Aaron Gordon,PF,DEN,73.0,2297.0,15.9,7.4,4.1,4.3,1.2,22841455.0,0.18825420709845322
Klay Thompson,SF,GSW,77.0,2284.0,21.7,4.0,2.8,1.8,-1.0,15873016.0,0.1133999990928
Kyle Kuzma,PF,WAS,70.0,2281.0,24.5,7.3,4.7,-0.9,-4.9,24456061.0,-0.036800693292349904
Kyle Kuzma,PF,WAS,70.0,2281.0,24.5,7.3,4.7,-1.3,-5.2,24456061.0,-0.05315655697783875
