Model,Train RMSE $,Test RMSE $,Test MAE $,Train R2 (log),Test R2 (log)
Linear_log,0.6004753297083911,0.9464295364394266,0.4956157357922956,0.8782754731369313,0.7905947336797396
RandomForest_log,0.12093658670205837,0.5589544185458082,0.15123664332338044,0.992827185028157,0.9069236306776964
XGBoost_log,0.002431756149369519,0.5041244810391349,0.13490222531779952,0.999996753526045,0.9213293307934683
