model,RMSE,MAE,R2
Linear Regression,2.0109315997133996e+16,3992034388410924.0,-3.4970839809171543e+18
Random Forest,5395378.328713793,3149206.9402216747,0.7482582360804213
XGBoost,5109530.549999541,3014223.6509005544,0.7742262404670999
