Model,Train RMSE,Test RMSE,Test MAE,Train R2,Test R2
Linear,4999931.331629073,6667816.339558444,4376128.255969489,0.8279883595627766,0.615515600926531
RandomForest,621348.2259850544,2406625.6393537913,522515.3323399015,0.9973435607811398,0.949912593706697
XGBoost,10114.910448408924,2481120.142386253,506720.62235654634,0.999999296030502,0.9467637993288269
